Title,Published_Url
That's all folks!,
Test Leads - Where are they leading you to ?,https://medium.com/@dme_43393/test-leads-where-are-they-leading-you-to-a7af3889111f
Hot ! Coffee Mug Story and Testing Lessons,https://medium.com/@dme_43393/hot-coffee-mug-story-and-testing-lessons-63f1625df756
Technology that failed in India ( Testing Bowl of the world ),https://medium.com/@dme_43393/technology-that-failed-in-india-testing-bowl-of-the-world-5a542469472a
